primaryTitle,allorating,imdbrating,genres,diff,imdb
Tangerine,7.2,7.1,"Comedy,Crime,Drama",0.1000000000000005,3824458
Tanguy,5.0,6.4,Comedy,1.4000000000000004,274155
Tarzan,7.8,7.3,"Adventure,Animation,Comedy",0.5,120855
Terraferma,7.2,6.8,Drama,0.4000000000000003,1641410
Tetro,8.0,6.8,Drama,1.2000000000000002,964185
Teza,6.8,7.1,Drama,0.2999999999999998,1284592
The Anniversary Party,5.8,6.3,"Comedy,Drama,Romance",0.5,254099
The Birth of a Nation,7.4,6.5,"Biography,Drama,History",0.9000000000000004,4196450
The Box,4.6,5.6,"Drama,Mystery,Thriller",1.0,362478
The Darkest Hour,3.6,4.9,"Action,Adventure,Horror",1.3000000000000005,1093357
The Finest Hours,7.0,6.7,"Action,Drama,History",0.2999999999999998,2025690
The Good German,4.4,6.0,"Drama,Mystery,Romance",1.5999999999999996,452624
The Hole,5.6,6.2,"Drama,Mystery,Thriller",0.6000000000000005,242527
The Million Dollar Hotel,5.6,5.8,"Drama,Mystery,Thriller",0.2000000000000001,120753
The November Man,6.0,6.3,"Action,Thriller",0.2999999999999998,2402157
The Party,7.6,7.5,Comedy,0.0999999999999996,63415
The Place Beyond the Pines,8.0,7.3,"Crime,Drama,Thriller",0.7000000000000002,1817273
The Pleasure of Being Robbed,6.0,6.1,Drama,0.0999999999999996,1189259
The Pledge,6.6,6.8,"Crime,Drama,Mystery",0.2000000000000001,237572
The Prodigies,6.2,5.9,"Action,Animation,Drama",0.2999999999999998,1374990
The Proposition,7.4,7.3,"Crime,Drama,Western",0.1000000000000005,421238
The Punisher,4.8,6.4,"Action,Crime,Drama",1.6000000000000003,330793
The Spectacular Now,7.6,7.1,"Comedy,Drama,Romance",0.5,1714206
The Warrior,6.6,6.7,"Adventure,Drama",0.1000000000000005,275083
The Waterboy,5.0,6.1,"Comedy,Sport",1.0999999999999996,120484
This Must Be the Place,6.8,6.7,"Adventure,Comedy,Drama",0.0999999999999996,1440345
Tigerland,6.4,7.0,"Drama,War",0.5999999999999996,170691
Titanic,8.6,7.9,"Drama,Romance",0.6999999999999993,120338
Toast,6.4,6.6,"Biography,Comedy,Drama",0.1999999999999993,1658851
Traffic,7.4,7.6,"Crime,Drama,Thriller",0.1999999999999993,181865
Trance,7.6,6.9,"Crime,Drama,Mystery",0.6999999999999993,1924429
Transamerica,7.6,7.4,"Adventure,Comedy,Drama",0.1999999999999993,407265
Transformers,6.6,7.1,"Action,Adventure,Sci-Fi",0.5,418279
Transylvania,5.6,6.7,Drama,1.1000000000000003,463381
Trust,7.4,6.9,"Crime,Drama,Thriller",0.5,1529572
Turbo,7.4,6.4,"Adventure,Animation,Comedy",1.0,1860353
Two Lovers,7.2,7.0,"Drama,Romance",0.2000000000000001,1103275
U-571,6.4,6.6,"Action,War",0.1999999999999993,141926
Unfriended,4.8,5.6,"Horror,Mystery,Thriller",0.7999999999999998,3713166
Vandal,6.6,6.0,Drama,0.5999999999999996,2779998
Violette,5.2,6.9,"Biography,Drama,Romance",1.7000000000000002,2976920
W.E.,7.0,6.2,"Drama,History,Romance",0.7999999999999998,1536048
Warrior,8.8,8.2,"Action,Drama,Sport",0.6000000000000014,1291584
We Are Your Friends,7.4,6.2,"Drama,Music,Romance",1.2000000000000002,3787590
We Don't Live Here Anymore,6.0,6.3,"Drama,Romance",0.2999999999999998,361309
Week-ends,4.0,5.5,Drama,1.5,3230092
Winter's Bone,7.2,7.1,"Drama,Mystery",0.1000000000000005,1399683
X-Men: Apocalypse,7.4,6.9,"Action,Adventure,Sci-Fi",0.5,3385516
X-Men: Days of Future Past,8.4,8.0,"Action,Adventure,Sci-Fi",0.4000000000000003,1877832
Yamakasi,3.8,6.1,"Action,Crime,Drama",2.3,267129
You're Next,6.0,6.6,"Horror,Thriller",0.5999999999999996,1853739
Youth,5.4,6.1,Drama,0.6999999999999993,3312830
